Woord	"Woord, artikel (extra info)"	Voorbeeldzin	Traduzione
bewijzen = aantonen	"bewijzen = aantonen (bewees, h. bewezen)"	Shirley heeft bewezen dat ze de beste bakker van de klas is: iedereen vond haar taart fantastisch.	Shirley ha dimostrato di essere la migliore pasticcera della classe: la sua torta è piaciuta a tutti.
chaos	"chaos, de"	In jouw kamer ligt er niets op de juiste plaats. Wat een chaos! Zal ik je helpen met opruimen?	"Nella tua stanza, niente è al suo posto. Che pasticcio! Posso aiutarti a pulire?"
deelnemen (aan)	"deelnemen (aan) (nam deel, h. deelgenomen)"	Heb je zin om deel te nemen aan de quiz van het werk? Dan schrijf ik je in.	Vuoi partecipare al quiz lavorativo? Allora ti iscriverò.
denken aan	"denken aan (dacht aan, h. gedacht aan)"	"Ik denk vaak aan mijn kinderen. Ze wonen niet meer thuis, maar ik hou ze in mijn gedachten."	"Penso spesso ai miei figli. Non vivono più a casa, ma li tengo nei miei pensieri."
doel	"doel, het [en] - wat je wil bereiken"	Welk doel wil je bereiken? Wat is je ambitie?	Quale obiettivo vuoi raggiungere? Qual è la tua ambizione?
doen (als) of	"doen (als) of (deed (als) of, h. gedaan (als)of)"	Hij deed alsof hij heel moe was. Hij hoopte dat hij dan niet mee moest wandelen. Maar zijn mama zag dat hij deed alsof.	Finse di essere molto stanco. Sperava di non dover accompagnarli a piedi. Ma sua madre si accorse che stava fingendo.
droom	"droom, de [dromen]"	Het is haar droom om viool te spelen in het Nationaal Orkest.	Il suo sogno è suonare il violino nell'Orchestra Nazionale.
eenvoudig = simpel	eenvoudig = simpel	Een eenvoudig gerecht zoals tomaat met mozarella kan heel lekker zijn.	Un piatto semplice come il pomodoro con la mozzarella può essere molto gustoso.
ervaren	ervaren adj	Wij zoeken een chauffeur met ervaring. Ben jij een ervaren chauffeur?	Stiamo cercando un autista con esperienza. Sei un conducente esperto?
ervaring	"ervaring, de [-en]"	Zij heeft veel ervaring met kinderen. Zij is zeker een goede kinderverzorger.	Ha molta esperienza con i bambini. È sicuramente una brava tata.
gedachte	"gedachte, de [-n/-s]"	Hij weet altijd wat ik ga doen. Soms heb ik het gevoel dat hij mijn gedachtes kan lezen.	Lui sa sempre cosa farò. A volte ho la sensazione che riesca a leggermi nel pensiero.
geestelijk = psychisch	geestelijk = psychisch	De geestelijke gezondheid is even belangrijk als de lichamelijke gezondheid.	La salute mentale è importante tanto quanto quella fisica.
goedkeuren	"goedkeuren (keurde goed, h. goedgekeurd)"	De regering heeft het nieuwe belastingsplan goedgekeurd. De superrijke mensen zullen meer belastingen moeten betalen.	Il governo ha approvato il nuovo piano fiscale. I super ricchi dovranno pagare più tasse.
herinnering	"herinnering, de [-en]"	Ik heb geen goede herinneringen aan mijn schooltijd. Ik ging niet graag naar school.	Non ho bei ricordi dei miei anni di scuola. Non mi piaceva andare a scuola.
intelligent	intelligent	Deze nieuwe smartphone heeft een intelligente assistent die je kan helpen met verschillende taken.	Questo nuovo smartphone è dotato di un assistente intelligente che può aiutarti in diverse attività.
inzien	"inzien (zag in, h. ingezien) = begrijpen en accepteren"	Karel zag in dat hij te boos gereageerd had. Hij excuseerde zich.	Karel si rese conto di aver reagito con troppa rabbia. Si è scusato.
kennis	"kennis, de wat je kent of weet of geleerd hebt"	Voor deze job heb je een goede kennis van het Nederlands nodig.	Per questo lavoro è richiesta una buona conoscenza dell'olandese.
knap	knap	Rodrigo is een knappe student: hij kan zich goed concentreren en alle vakken snel leren.	Rodrigo è un bravo studente: riesce a concentrarsi bene e impara velocemente tutte le materie.
meedoen (met/aan) = deelnemen (aan)	"meedoen (met/aan) = deelnemen (aan) (deed mee, h. meegedaan)"	Heb je zin om mee te doen aan de quiz van de school? De meeste cursisten van onze groep doen ook mee.	Vuoi partecipare al quiz scolastico? Partecipa anche la maggior parte degli studenti del nostro gruppo.
mening = het oordeel = de opvatting = het standpunt = de opinie	"mening = het oordeel = de opvatting = het standpunt = de opinie, de [-en]"	"Het spijt me, ik ga niet akkoord. Ik heb een andere mening."	"Mi dispiace, non sono d'accordo. Io ho un'opinione diversa."
mop	"mop, de [-pen]"	Hendrik kan goed moppen vertellen. Wij moeten altijd zo lachen met zijn moppen.	Hendrik è bravo a raccontare barzellette. Ridiamo sempre tantissimo alle sue battute.
ontdekken	"ontdekken (ontdekte, h. ontdekt)"	"Toen ik de zolder van mijn oma opruimde, ontdekte ik een doos met oude foto's en brieven."	"Mentre riordinavo la soffitta di mia nonna, ho scoperto una scatola piena di vecchie fotografie e lettere."
op de hoogte	op de hoogte (op de hoogte zijn/houden/brengen)	Jamal is goed op de hoogte van de recente ontwikkelingen in de wereld. Hij volgt het nieuws.	Jamal è ben informato sugli ultimi sviluppi nel mondo. Segue le notizie.
opinie	"opinie, de [-s]"	"Je mag zeker je opinie geven, maar je moet wel respect hebben voor de opinie van anderen."	"Puoi certamente esprimere la tua opinione, ma devi rispettare quelle degli altri."
oplossing	"oplossing, de [-en]"	"Er is niet altijd een oplossing voor elk probleem, maar het is belangrijk oplossingen te blijven zoeken."	"Non esiste sempre una soluzione a ogni problema, ma è importante continuare a cercare soluzioni."
opvatting	"opvatting, de [-en]"	Hij had een interessante opvatting over dat onderwerp. Zo hadden we het nog niet bekeken.	Aveva una visione interessante sull'argomento. Finora non l'avevamo mai vista da questa prospettiva.
praktijk	"praktijk, de"	Bij de studie van verpleegkunde is niet alleen de theorie maar ook de praktijk belangrijk.	"Quando si studia infermieristica, non è importante solo la teoria, ma anche la pratica."
psychisch	psychisch	Je moet een gezond lichaam hebben. Maar je psychische gezondheid is even belangrijk. Met psychische problemen kan je niet goed functioneren.	Devi avere un corpo sano. Ma la tua salute mentale è altrettanto importante. Con problemi psicologici non puoi funzionare correttamente.
raad	"raad, de"	De dokter gaf me raad (advies) voor een beter voedingspatroon.	Il medico mi ha dato consigli per una dieta migliore.
realiseren	"realiseren (realiseerde, h. gerealiseerd)"	Het is niet altijd gemakkelijk te weten hoe je je dromen kan realiseren.	Non è sempre facile sapere come realizzare i propri sogni.
simpel	simpel	Je mag voor de kinderen geen te moeilijke woorden gebruiken. Probeer het simpel uit te leggen.	Non usare parole troppo difficili per i bambini. Prova a spiegarlo in modo semplice.
slim = intelligent = knap	slim = intelligent = knap	Om te slagen is slim zijn niet genoeg. Je moet ook veel studeren en oefenen.	"Per avere successo, essere intelligenti non basta. Bisogna anche studiare e fare molta pratica."
standpunt	"standpunt, het [-en]"	Wat is jouw standpunt over dit onderwerp? Ben je voor of tegen?	Qual è la tua posizione su questo argomento? Sei a favore o contro?
theorie	"theorie, de [-en]"	"Als je geneeskunde studeert, moet je eerst goed de theorie kennen. Daarna kan je de theorie toepassen in de praktijk."	"Se studi medicina, devi prima conoscere bene la teoria. Poi potrai applicare la teoria alla pratica."
tip	"tip, de [-s]"	Heb je een goede tip om Nederlands te oefenen? Misschien moet ik meer met Vlamingen praten?	Hai qualche buon consiglio per esercitarti nell'olandese? Forse dovrei parlare di più con i fiamminghi?
toegeven	"toegeven (gaf toe, h. toegegeven)"	Chantal gaf toe dat ze een fout gemaakt had. Het is beter het te zeggen dan vol te houden dat alles oké is.	Chantal ha ammesso di aver commesso un errore. Meglio dirlo che insistere che va tutto bene.
uit het hoofd = vanbuiten	uit het hoofd = vanbuiten	Volgens mij is rechten een moeilijke studierichting: je moet veel teksten uit het hoofd leren.	Secondo me il diritto è una disciplina difficile: bisogna imparare a memoria molti testi.
verbieden	"verbieden (verbood, h. verboden)"	De lesgever verbiedt het gebruik van gsm's in de klas.	L'insegnante proibisce l'uso dei cellulari in classe.
verboden	verboden	Het is verboden (om) hier te parkeren. Je mag hier niet parkeren.	Qui è vietato parcheggiare. Qui non è consentito parcheggiare.
vergissing	"vergissing, de [-en]"	Ik denk dat u een vergissing gemaakt hebt: deze bestelling is niet voor mij.	Penso che tu abbia commesso un errore: questo ordine non fa per me.
vermoeden	"vermoeden (vermoedde, h. vermoed)"	Ik vermoed dat het gaat regenen straks. Zie je die donkere wolken?	Ho il sospetto che presto pioverà. Vedete quelle nuvole scure?
verstandig = wijs	verstandig = wijs	Het is verstandig om een reservesleutel van je huis aan je ouders te geven.	È consigliabile dare ai tuoi genitori una copia delle chiavi di casa.
voorstellen	"voorstellen (stelde voor, h. voorgesteld)"	Ik stel voor dat we straks even in het park wandelen. Vind je dat een goed idee? - Ik wil je voorstellen aan onze nieuwe collega.	Ti suggerisco di fare una passeggiata al parco più tardi. Pensi che sia una buona idea? - Vorrei presentarti il ??nostro nuovo collega.
zaak	"zaak, de [zaken] = de kwestie"	Dit is een complexe zaak die we eerst met de directeur moeten bespreken. - De politie zal die zaak onderzoeken.	Si tratta di una questione complessa di cui dobbiamo prima discutere con il regista. - La polizia indagherà sulla questione.
zich amuseren	"zich amuseren (amuseerde zich, h. zich geamusserd)"	We hebben veel leuke dingen gedaan op reis. We hebben ons echt goed geamuseerd.	Durante il nostro viaggio abbiamo fatto un sacco di cose divertenti. Ci siamo divertiti davvero tanto.
zich herinneren	"zich herinneren (herinnerde zich, h. zich herinnerd)"	Mijn oma herinnert zich nog alles van haar kindertijd.	Mia nonna ricorda ancora tutto della sua infanzia.
zich realiseren	"zich realiseren (realiseerde zich, h. gerealiseerd)"	Hij realiseerde zich dat hij een grote fout gemaakt had. Hopelijk kon hij die fout nog rechtzetten.	Si rese conto di aver commesso un grosso errore. Speriamo che riesca ancora a correggere quell'errore.
zich vergissen	"zich vergissen (vergiste zich, h. zich vergist)"	"Het spijt me, we hebben ons vergist. We dachten dat we vandaag een afspraak hadden, maar het is pas morgen."	"Mi dispiace, abbiamo commesso un errore. Pensavamo di avere un appuntamento per oggi, ma non sarà prima di domani."
zich vervelen	"zich vervelen (verveelde zich, h. zich verveeld)"	"De kinderen wisten niet wat ze konden doen. Ze verveelden zich. - Als je je verveelt, mag je helpen afwassen!"	"I bambini non sapevano cosa fare. Si annoiavano. - Se ti annoi, puoi aiutare a lavare i piatti!"
zich voorstellen	"zich voorstellen (stelde zich voor, h. zich voorgesteld)"	De nieuwe directeur stelde zich voor aan zijn team. - Hebben jullie je al aan elkaar voorgesteld?	Il nuovo direttore si è presentato al suo team. - Vi siete già presentati?
