Woord	"Woord, artikel (extra info)"	Voorbeeldzin	Traduzione
horloge	"horloge, het [-s]"	"Hoe laat is het? - Ik weet het niet, ik heb geen horloge."	"Che ore sono? - Non lo so, non ho l'orologio."
huidig	huidig	Ik ben niet tevreden met mijn huidige job. Ik zoek ander werk.	Non sono soddisfatto del mio attuale lavoro. Sto cercando un altro impiego.
jaarlijks	jaarlijks	Je moet jaarlijks op controle gaan bij de tandarts. Ik ga elk jaar in juni.	Devi andare ogni anno dal dentista per un controllo. Io ci vado ogni anno a giugno.
juist = net = pas	juist = net = pas (adv)	"Heb je de lesgever gezien? - Ja, hij is juist naar buiten gegaan."	"Hai visto l'insegnante? - Sì, è appena uscito."
kalender	"kalender , de [-s]"	Wanneer is tante Rita jarig? - Dat kan je op de verjaardagskalender zien.	Quando è il compleanno di zia Rita? - Lo puoi vedere sul calendario dei compleanni.
lawaai = de herrie = het rumoer	"lawaai = de herrie = het rumoer, het"	Er is veel lawaai van het verkeer. Het is moeilijk om je te horen - De kinderen buiten maken veel lawaai.	C'è molto rumore per il traffico. È difficile sentirti. - I bambini fuori fanno molto rumore.
lijken	"lijken (leek, h. geleken)"	Onze hond lijkt ziek. We gaan naar de dierenarts om te controleren of hij echt ziek is.	Il nostro cane sembra malato. Andiamo dal veterinario per controllare se è davvero malato.
lijken op	"lijken op (leek op, h. geleken op)"	Cynthia lijkt goed op haar moeder. Ze zijn even groot en ze hebben allebei blond haar en groene ogen.	Cynthia somiglia molto a sua madre. Hanno la stessa altezza e entrambe hanno i capelli biondi e gli occhi verdi.
maandelijks	maandelijks	Het maandelijkse bedrag van onze huur is 750 euro. We betalen per maand 750 euro huur.	L'importo mensile del nostro affitto è di 750 euro. Paghiamo 750 euro al mese di affitto.
merken	"merken (merkte, h. gemerkt)"	Ik merk dat jullie het hier leuk vinden: ik zie jullie lachen.	Mi accorgo che vi piace stare qui: vi vedo ridere.
midden	midden (midden in (de zomer))	Midden in de zomer nemen veel mensen vakantie. Dan is het te warm om te werken.	Nel pieno dell'estate molte persone prendono le ferie. Fa troppo caldo per lavorare.
momenteel	momenteel (adv) op dit moment	Momenteel heeft hij geen werk. Maar hij hoopt dat hij snel een job zal vinden.	Attualmente non ha un lavoro. Ma spera di trovarne presto uno.
nadat	nadat (conj)	"Nadat Chiara de kinderen in bed gestopt had, keek ze naar haar favoriete tv-programma."	"Dopo aver messo i bambini a letto, Chiara ha guardato il suo programma televisivo preferito."
namiddag	"namiddag, de [-dagen]"	Elke namiddag slaap ik een uur. Een siësta 's namiddags is een goede manier om je te ontspannen.	Ogni pomeriggio dormo un'ora. Una siesta nel pomeriggio è un buon modo per rilassarsi.
net	net (adv)	"Ik was net thuis vertrokken, toen ik zag dat ik mijn gsm niet mee had. Gelukkig was ik nog niet ver."	Ero appena uscito di casa quando ho visto che non avevo portato il cellulare. Per fortuna non ero ancora lontano.
ondertussen	ondertussen (adv)	Mireia maakte het avondeten. Ondertussen deed haar man de afwas.	Mireia preparava la cena. Nel frattempo suo marito lavava i piatti.
opvallen	"opvallen (viel op, is opgevallen)"	"In een groep valt Nadia direct op, met haar speciale kleren en haar grote roze bril."	"In un gruppo Nadia si distingue subito, con i suoi vestiti particolari e i suoi grandi occhiali rosa."
overdag	overdag (adv)	Ada heeft het heel druk. Ze werkt overdag en 's avonds volgt ze een opleiding.	Ada è molto impegnata. Lavora durante il giorno e la sera segue un corso di formazione.
overmorgen	overmorgen (adv)	Overmorgen vertrek ik naar Rome. Er waren geen tickets meer voor morgen. Dus moet ik nu een dag wachten.	Dopodomani parto per Roma. Non c'erano più biglietti per domani. Quindi devo aspettare un giorno in più.
proeven	"proeven (proefde, h. geproefd)"	"Ik wist niet hoe dit smaakte, maar ik heb geproefd en ik vind het echt lekker!"	"Non sapevo che sapore avesse questo, ma l'ho assaggiato e mi piace davvero!"
recent	recent	"Ik heb recent een interessant artikel over de klimaatverandering gelezen,"	Ho letto recentemente un articolo interessante sul cambiamento climatico.
ruiken	"ruiken (rook, h. geroken)"	"Mmm, het ruikt hier lekker! Staat er een chocoladetaart in de oven?"	"Mmm, che buon odore! C'è una torta al cioccolato nel forno?"
slot	"slot, het = het einde"	"Op zaterdagmorgen ga ik eerst joggen, dan neem ik een douche en ontbijt ik. En tot slot lees ik de krant."	"Il sabato mattina prima vado a correre, poi faccio la doccia e faccio colazione. E infine leggo il giornale."
smaken (naar)	smaken (naar)	"(smaakte, h. gesmaakt)"	Amo il silenzio di questo posto nel bosco. Non si sente nulla qui.
stilte	"stilte, de [s]"	"Ik hou van de stilte van deze plaats in het bos. Je hoort hier niets,"	Possiamo mangiare e parlare contemporaneamente.
tegelijk = tegelijkertijd	tegelijk = tegelijkertijd (adv)	We kunnen tegelijk eten en praten.	Ho messo l'armadio contro il muro.
tegen	tegen (prep)	Ik heb de kast tegen de muur gezet.	"Arriva sempre in ritardo al lavoro. Non è mai puntuale. - Ogni volta che lo vedo, sono felice."
telkens	telkens (adv)	"Hij komt telkens te laat op het werk. Hij is nooit op tijd. - Telkens als ik hem zie, ben ik blij."	"Cerco un lavoro temporaneo, solo per il periodo giugno-settembre."
tijdelijk	tijdelijk adj	"Ik zoek een tijdelijke job, alleen voor de periode juni-september."	Questa fermata dell'autobus non è utilizzabile temporaneamente a causa dei lavori sulla strada.
tijdelijk	tijdelijk (adj/ adv)	deze bushalte kan je tijdelijk niet gebruiken omdat er werken aan de straat zijn.	In futuro la tecnologia diventerà sempre più importante.
toekomst	"toekomst, de"	In de toekomst zal technologie steeds belangrijker worden.	Finora non abbiamo ancora ottenuto risultati dalla nostra ricerca. È frustrante.
tot nu toe	tot nu toe	Tot nu toe hebben we nog geen resultaat van ons onderzoek. Dat is frustrerend.	Ho letto la prima pagina di questo romanzo e ho voluto continuare subito. Era scritto così bene!
verder	verder (adv)	Ik las de eerste bladzijde van deze roman en ik wilde direct verder lezen. Het was zo mooi geschreven!	Mia nonna non ama parlare del passato. Vive completamente nel presente e si gode ogni momento.
verleden	"verleden, het"	Mijn oma spreekt niet graag over het verleden. Ze leeft helemaal in het heden en ze geniet van elk moment nu.	Bah! Trovo le cozze davvero disgustose! Le cozze non sono per niente buone.
vies	vies	Bah! Ik vind mosselen echt vies! Mosselen zijn helemaal niet lekker.	"Questa mattina mi sono alzato molto presto, prima che sorgesse il sole."
voor (dat)	voor (dat) (conj)	"Ik ben vanmorgen heel vroeg opgestaan, voor de zon opkwam."	Le vacanze passano sempre troppo velocemente.
voorbij	voorbij	De vakantie gaat altijd veel te snel voorbij.	In mattinata abbiamo lezione e nel pomeriggio facciamo esercizi a casa.
voormiddag	"voormiddag, de [-dagen]"	In de voormiddag hebben we les en 's namiddags maken we thuis oefeningen.	In passato andavamo spesso al parco per giocare insieme a calcio. Ora abbiamo tutti troppo lavoro.
vroeger	vroeger (adv)	Vroeger gingen we vaak naar het park om samen te voetballen. Nu hebben we allemaal te veel werk.	Vado in palestra una volta alla settimana per mantenermi in forma.
wekelijks	wekelijks	Ik ga wekelijks naar de sportschool om fit te blijven.	"Prendo raramente il treno, forse 2 o 3 volte all'anno. Vado quasi sempre in auto da qualche parte."
zelden	zelden (adv)	"Ik neem zelden de trein, misschien 2 of 3 keer per jaar. Ik ga bijna altijd met de auto ergens naartoe."	Non è abbastanza buio. Non puoi vedere le stelle. Le stelle non sono visibili.
zichtbaar	zichtbaar (adj)	Het is niet donker genoeg. Je kan de sterren niet zien. De sterren zijn niet zichtbaar.	Durante un esame deve esserci silenzio. Non puoi parlare. Devi stare zitto.
zwijgen	"zwijgen (zweeg, h. gezwegen)"	Op een examen moet het stil zijn. Je mag niet praten. Je moet zwijgen.	
