Infinitief	Imp. Sing.	Imp. Plur.	Participium	Hebben/Zijn	Voorbeeldzin	Example
knijpen	kneep	knepen	geknepen	H	Hij knijpt in de sinaasappel.	He squeezes the orange.
komen	kwam	kwamen	gekomen	Z	We komen morgen op bezoek.	We are coming to visit tomorrow.
kopen	kocht	kochten	gekocht	H	Ze koopt een nieuwe jas.	She buys a new coat.
krijgen	kreeg	kregen	gekregen	H	Hij krijgt een brief van zijn oma.	He receives a letter from his grandmother.
krimpen	kromp	krompen	gekrompen	Z	De trui krimpt in de was.	The sweater shrinks in the wash.
kruipen	kroop	kropen	gekropen	H/Z	De baby kruipt over de vloer.	The baby crawls across the floor.
kunnen	kon	konden	gekund	H	Ik kan goed zwemmen.	I can swim well.
lachen	lachte	lachten	gelachen	H	Ze lacht om de grap.	She laughs at the joke.
laten	liet	lieten	gelaten	H	Laat me je iets vertellen.	Let me tell you something.
lezen	las	lazen	gelezen	H	Ik lees graag romans.	I enjoy reading novels.
liegen	loog	logen	gelogen	H	Hij liegt nooit tegen zijn vrienden.	He never lies to his friends.
liggen	lag	lagen	gelegen	H	Het boek ligt op tafel.	The book is lying on the table.
lijden	leed	leden	geleden	H	Ze lijdt aan een zeldzame ziekte.	She suffers from a rare disease.
lijken	leek	leken	geleken	H	Het lijkt een eenvoudige oplossing.	It seems like a simple solution.
lopen	liep	liepen	gelopen	H	Hij loopt elke ochtend vijf kilometer.	He walks five kilometers every morning.
meten	mat	maten	gemeten	H	De dokter meet zijn bloeddruk.	The doctor measures his blood pressure.
mijden	meed	meden	gemeden	H	Hij mijdt drukke straten.	He avoids busy streets.
moeten	moest	moesten	gemoeten	H	Je moet je huiswerk maken.	You must do your homework.
mogen	mocht	mochten	gemogen	H	We mogen naar het feest gaan.	We may go to the party.
nemen	nam	namen	genomen	H	Ik neem een stuk chocolade.	I take a piece of chocolate.
onderzoeken	onderzocht	onderzochten	onderzocht	H	Ze onderzoeken het probleem grondig.	They are thoroughly investigating the problem.
ontbijten	ontbeet	ontbeten	ontbeten	H	We ontbijten meestal om acht uur.	We usually have breakfast at eight o clock.
ontstaan	ontstond	ontstonden	ontstaan	Z	Er ontstond een hevige discussie.	A heated discussion arose.
optreden	trad op	traden op	opgetreden	H/Z	De band treedt op in Amsterdam.	The band performs in Amsterdam.
overlijden	overleed	overleden	overleden	Z	Hij overleed op jonge leeftijd.	He passed away at a young age.
raden	raadde	raadden	geraden	H	Kun jij het antwoord raden?	Can you guess the answer?
rijden	reed	reden	gereden	H/Z	Ik rijd elke dag naar mijn werk.	I drive to work every day.
roepen	riep	riepen	geroepen	H	Ze roepen om hulp.	They call for help.
ruiken	rook	roken	geroken	H	De bloemen ruiken heerlijk.	The flowers smell wonderful.
scheiden	scheidde	scheidden	gescheiden	Z	Ze scheiden na tien jaar huwelijk.	They separated after ten years of marriage.
schelden	schold	scholden	gescholden	H	Hij scheldt zijn broer uit.	He scolds his brother.
schenken	schonk	schonken	geschonken	H	Hij schenkt een glas wijn in.	He pours a glass of wine.
scheren	schoor	schoren	geschoren	H	Hij scheert zich elke ochtend.	He shaves every morning.
schijnen	scheen	schenen	geschenen	H	De zon schijnt door de wolken.	The sun shines through the clouds.
schieten	schoot	schoten	geschoten	H	Ze schiet de bal in het doel.	She shoots the ball into the goal.
schrijven	schreef	schreven	geschreven	H	Ik schrijf een brief aan mijn vriend.	I am writing a letter to my friend.
schrikken	schrok	schrokken	geschrokken	Z	De kat schrikt van het harde geluid.	The cat gets startled by the loud noise.
schuiven	schoof	schoven	geschoven	H	Ze schuift de stoel naar achteren.	She slides the chair backward.
slaan	sloeg	sloegen	geslagen	H	De jongen slaat de bal met zijn hand.	The boy hits the ball with his hand.
slapen	sliep	sliepen	geslapen	H	We slapen elke nacht acht uur.	We sleep eight hours every night.
sluipen	sloop	slopen	geslopen	H/Z	Hij sluipt stil door de kamer.	He sneaks quietly through the room.
sluiten	sloot	sloten	gesloten	H	Ze sluit het raam voor het regent.	She closes the window before it rains.
smelten	smolt	smolten	gesmolten	Z	De boter smelt in de pan.	The butter melts in the pan.
snijden	sneed	sneden	gesneden	H	Ze snijdt het brood in plakken.	She cuts the bread into slices.
spijten	speet	speten	gespeten	H	Het spijt me dat ik te laat ben.	I m sorry that I m late.
spreken	sprak	spraken	gesproken	H	Hij spreekt vloeiend Nederlands.	He speaks Dutch fluently.
springen	sprong	sprongen	gesprongen	H	De kinderen springen over het touw.	The children jump over the rope.
staan	stond	stonden	gestaan	H	Hij staat bij de deur te wachten.	"He is standing by the door, waiting."
steken	stak	staken	gestoken	H	Ze steekt haar hand op in de klas.	She raises her hand in class.
stelen	stal	stalen	gestolen	H	De dief steelt een kostbaar schilderij.	The thief steals a valuable painting.
sterven	stierf	stierven	gestorven	Z	De plant sterft zonder water.	The plant dies without water.
stijgen	steeg	stegen	gestegen	Z	De ballon stijgt langzaam op.	The balloon slowly rises.
stinken	stonk	stonken	gestonken	H	De vuilnisbak stinkt als hij open is.	The trash can stinks when it s open.
strijden	streed	streden	gestreden	H	Ze strijden voor gelijke rechten.	They fight for equal rights.
strijken	streek	streken	gestreken	H	Hij strijkt zijn overhemd glad.	He irons his shirt smooth.
Toegeven	gaf toe	gaven toe	toegegeven	H	Ze geeft toe dat ze fout zat.	She admits that she was wrong.
Toelaten	liet toe	lieten toe	toegelaten	H	De leraar laat hem de opdracht maken.	The teacher lets him complete the task.
trekken	trok	trokken	getrokken	H	Ze trekken aan het zware touw.	They pull on the heavy rope.
treffen	trof	troffen	getroffen	H	Hij treft een oude vriend op straat.	He meets an old friend on the street.
vallen	viel	vielen	gevallen	Z	Ik val bijna van de trap.	I almost fall down the stairs.
vangen	ving	vingen	gevangen	H	De kat vangt een muis.	The cat catches a mouse.
varen	voer	voeren	gevaren	H/Z	Ze varen over de rivier.	They sail across the river.
vechten	vocht	vochten	gevochten	H	Ze vechten tegen onrecht.	They fight against injustice.
verbergen	verborg	verborgen	verborgen	H	Hij verbergt het cadeau onder het bed.	He hides the gift under the bed.
verbieden	verbood	verboden	verboden	H	Ze verbieden roken in het restaurant.	They forbid smoking in the restaurant.
verbinden	verbond	verbonden	verbonden	H	Hij verbindt de twee kabels met elkaar.	He connects the two cables together.
verdwijnen	verdween	verdwenen	verdwenen	Z	Het vliegtuig verdwijnt achter de wolken.	The airplane disappears behind the clouds.
vergelijken	vergeleek	vergeleken	vergeleken	H	Hij vergelijkt de prijzen van de producten.	He compares the prices of the products.
vergeten	vergat	vergaten	vergeten	H/Z	Ik vergeet altijd mijn sleutels.	I always forget my keys.
verkopen	verkocht	verkochten	verkocht	H	Ze verkoopt haar oude meubels.	She sells her old furniture.
verliezen	verloor	verloren	verloren	H	Hij verliest zijn portemonnee.	He loses his wallet.
verschijnen	verscheen	verschenen	verschenen	Z	Ze verschijnt plotseling in de kamer.	She suddenly appears in the room.
vertrekken	vertrok	vertrokken	vertrokken	Z	We vertrekken morgen vroeg.	We are leaving early tomorrow.
verzinnen	verzon	verzonnen	verzonnen	H	Ze verzint een spannend verhaal.	She invents an exciting story.
vinden	vond	vonden	gevonden	H	Ik vind deze film heel leuk.	I really like this movie.
vliegen	vloog	vlogen	gevlogen	H/Z	De vogel vliegt door de lucht.	The bird flies through the sky.
vouwen	vouwde	vouwden	gevouwen	H	Ze vouwt het papier netjes op.	She folds the paper neatly.
vragen	vroeg	vroegen	gevraagd	H	Hij vraagt de weg aan een voorbijganger.	He asks a passerby for directions.
vriezen	vroof	vroren	gevroren	H	Het water bevriest bij nul graden.	The water freezes at zero degrees.
wassen	waste	wasten	gewassen	H	Hij wast zijn auto elke week.	He washes his car every week.
wegen	woog	wogen	gewogen	H	Ze weegt de ingredi nten nauwkeurig af.	She weighs the ingredients carefully.
weten	wist	wisten	geweten	H	Ik weet niet wat ik moet doen.	I don t know what to do.
wijzen	wees	wezen	gewezen	H	Hij wijst naar de kaart op de muur.	He points to the map on the wall.
willen	wou/wilde	wilden	gewild	H	Ze wil graag naar het concert.	She wants to go to the concert.
winnen	won	wonnen	gewonnen	H	Hij wint de wedstrijd.	He wins the competition.
worden	werd	werden	geworden	Z	Hij wordt later dokter.	He will become a doctor later.
wrijven	wreef	wreven	gewreven	H	Ze wrijft de vlek uit haar kleding.	She rubs the stain out of her clothes.
zeggen	zei/zegde	zeiden/zegden	gezegd	H	Hij zegt dat hij blij is.	He says that he is happy.
zenden	zond	zonden	gezonden	H	Ze zenden het programma live uit.	They broadcast the program live.
zien	zag	zagen	gezien	H	Ik zie een regenboog in de lucht.	I see a rainbow in the sky.
zijn	was	waren	geweest	Z	Ze zijn erg blij met het cadeau.	They are very happy with the gift.
zingen	zong	zongen	gezongen	H	Hij zingt een lied voor het publiek.	He sings a song for the audience.
zinken	zonk	zonken	gezonken	Z	De steen zinkt naar de bodem.	The stone sinks to the bottom.
zitten	zat	zaten	gezeten	H	Ik zit graag bij het raam.	I like sitting by the window.
zoeken	zocht	zochten	gezocht	H	Ze zoekt haar verloren sleutels.	She is looking for her lost keys.
zuigen	zoog	zogen	gezogen	H	De baby zuigt op zijn duim.	The baby sucks on its thumb.
zwellen	zwol	zwollen	gezwollen	Z	Zijn knie zwelt op na de val.	His knee swells up after the fall.
zwemmen	zwom	zwommen	gezwommen	H	Ze zwemmen in het zwembad.	They swim in the pool.
zwijgen	zweeg	zwegen	gezwegen	H	Hij zwijgt tijdens het gesprek.	He remains silent during the conversation.
