Woord	"Woord, artikel (extra info)"	Voorbeeldzin	Traduzione
tegenkomen	"tegenkomen (kwam tegen, is tegengekomen)"	Ik ben gisteren in het park de lesgever tegengekomen. We hebben even gepraat.	Ieri ho incontrato l’insegnante nel parco. Abbiamo chiacchierato un po’.
tegenvallen	"tegenvallen (viel tegen, is tegengevallen) = minder goed of mooi dan je verwachtte"	Op het weerbericht zeiden ze dat het mooi weer ging zijn. Maar nu regent het. Dat valt tegen! - Het uitstapje naar de zee is tegengevallen. Het was minder leuk dan we verwacht hadden.	Al telegiornale avevano detto che ci sarebbe stato bel tempo. Ma ora piove. È una delusione! – La gita al mare è stata una delusione. È stata meno bella di quanto ci aspettassimo.
traditioneel	traditioneel	Dragen jullie op de nationale feestdag van jullie land traditionele kleren? - Traditioneel vieren we kerstdag met onze familie.	Indossate abiti tradizionali per la festa nazionale del vostro paese? – Tradizionalmente festeggiamo il Natale con la nostra famiglia.
triestig	triestig	"Irene huilt. Ze is triestig, want haar oma is heel ziek."	Irene piange. È triste perché sua nonna è molto malata.
uitkijken naar	"uitkijken naar (keek uit naar, h. uitgekeken naar)"	Ik kijk uit naar mijn verjaardag: dan is er feest! Ik heb zin in een leuk feest met veel vrienden!	Non vedo l’ora che sia il mio compleanno: ci sarà una festa! Ho voglia di una bella festa con tanti amici!
verantwoordelijk	verantwoordelijk	Als teamleider is hij verantwoordelijk voor het succes van het project.	"Come leader del team, è responsabile del successo del progetto."
verbaasd (over)	verbaasd (over)	Haar baas reageerde erg verbaasd toen ze zei dat ze haar werk niet graag deed. Dat wist hij helemaal niet.	Il suo capo ha reagito molto sorpreso quando lei ha detto che non le piaceva il suo lavoro. Non lo sapeva affatto.
verband	"verband, het [-en]"	Deze wetenschappelijke studie toont een duidelijk verband tussen lichaamsbeweging en een goede gezondheid.	Questo studio scientifico mostra un chiaro legame tra attività fisica e buona salute.
verbazen = verwonderen	"verbazen = verwonderen (verbaasde, h. verbaasd)"	Het verbaast iedereen dat hij vandaag op tijd is. Normaal is hij altijd te laat.	Sorprende tutti che oggi sia puntuale. Di solito è sempre in ritardo.
verdrietig = triestig	verdrietig = triestig	"Sammy is heel verdrietig, want zijn hond is gisteren gestorven."	"Sammy è molto triste, perché il suo cane è morto ieri."
verlangen	"verlangen, het"	Zij willen heel graag veel kinderen. Ze hebben een sterk verlangen naar een groot gezin.	Vogliono avere molti figli. Hanno un grande desiderio di una famiglia numerosa.
verlangen naar	"verlangen naar (verlangde naar, h. verlangd naar)"	"De cursus is bijna gedaan. Ik verlang naar de vakantie! - Toen het de hele tijd regende, verlangde ik naar de zon!"	"Il corso è quasi finito. Non vedo l’ora che arrivino le vacanze! – Quando pioveva tutto il tempo, desideravo il sole!"
verrassen	"verrassen (verraste, h. verrast)"	We willen de lesgever verrassen. Heb jij een idee om iets leuks en onverwachts voor hem te doen?	Vogliamo sorprendere l’insegnante. Hai un’idea per fare qualcosa di bello e inaspettato per lui?
verrassing	"verrassing, de"	Oh! Ik wist niet dat jullie voor mijn verjaardag taart gingen kopen! Dat is echt een leuke verrassing!	Oh! Non sapevo che aveste comprato una torta per il mio compleanno! È davvero una bella sorpresa!
vertrouwen	"vertrouwen (vertrouwde, h. vertrouwd)"	Ik vertrouw Jan 100%. Ik geloof dat hij eerlijk is en dat hij nooit iets slechts tegen mij zal doen.	Mi fido di Jan al 100%. Credo che sia onesto e che non farebbe mai nulla di male contro di me.
vertrouwen	"vertrouwen, het (vertrouwen hebben in)"	Wij hebben veel vertrouwen in onze burgemeester. Wij geloven dat hij veel goede dingen voor de stad wil doen.	Abbiamo molta fiducia nel nostro sindaco. Crediamo che voglia fare molte cose buone per la città.
vervelend	vervelend	Deze film is niet spannend en niet interessant. Het is een vervelende film. - De lesgever vindt het vervelend als cursisten te laat komen.	Questo film non è emozionante né interessante. È un film noioso. – L’insegnante trova fastidioso quando i corsisti arrivano in ritardo.
verwonderen	"verwonderen (verwonderde, h. verwonderd)"	Het verwondert me dat ze hiermee akkoord gaan. Dat had ik niet verwacht.	Mi sorprende che siano d'accordo con questo. Non me lo aspettavo.
volk	"volk, het"	Er was veel volk op de markt. - Het Belgische volk moet op 9 juni gaan stemmen voor het parlement.	C'era molta gente al mercato. - Il popolo belga deve votare per il parlamento il 9 giugno.
vreugde	"vreugde, de"	Met onze vrienden kunnen we goed praten en maken we veel plezier. Dat geeft ons een gevoel van vreugde.	Con i nostri amici possiamo parlare bene e divertirci molto. Questo ci dà un senso di gioia.
vrezen	"vrezen (vreesde, h. gevreesd)"	Je hebt diesel getankt in plaats van benzine? Ik vrees dat ik je niet kan helpen. Je gaat iemand anders moeten bellen.	Hai messo il diesel invece della benzina? Temo di non poterti aiutare. Dovrai chiamare qualcun altro.
vriendin	"vriendin, de [-nen]"	"Ik heb veel vriendinnen, maar Caroline is mijn beste vriendin."	"Ho molte amiche, ma Caroline è la mia migliore amica."
waardering	"waardering, de [-en]"	Ik doe mijn werk graag. Mijn baas geeft mij vaak een compliment. Het is leuk als je waardering krijgt voor je werk.	Mi piace fare il mio lavoro. Il mio capo mi fa spesso un complimento. È bello quando il tuo lavoro viene apprezzato.
wat is er aan de hand?	wat is er aan de hand?	Waarom ben je zo in paniek? Wat is er aan de hand? (Wat is het probleem?)	Perché sei così in panico? Cosa sta succedendo? (Qual è il problema?)
wat scheelt er? = wat scheelt je? = wat is er aan de hand?	wat scheelt er? = wat scheelt je? = wat is er aan de hand?	"Vertel eens', zegt de dokter. 'Wat scheelt er?' (Wat is het probleem?)"	"""Mi dica"", dice il medico. ""Cosa c'è che non va?"" (Qual è il problema?)"
wens	"wens, de [-en]"	Het is haar grote wens hier werk te vinden. Dat wil ze echt.	Il suo grande desiderio è trovare lavoro qui. Lo vuole davvero.
wil	"wil, de"	Joris heeft een sterke wil: hij spant zich erg in om zijn doel te bereiken.	Joris ha una forte volontà: si impegna molto per raggiungere il suo obiettivo.
zenuwachtig = nerveus	zenuwachtig = nerveus	Straks hebben we examen. Iedereen is heel zenuwachtig.	Tra poco abbiamo l’esame. Tutti sono molto nervosi.
zich amuseren	"zich amuseren (amuseerde zich, h. zich geamuseerd)"	We hebben veel leuke dingen gedaan op reis. We hebben ons echt goed geamuseerd.	Abbiamo fatto tante cose divertenti durante il viaggio. Ci siamo davvero divertiti molto.
zich verbazen over = zich verwonderen over	"zich verbazen over = zich verwonderen over (verbaasde zich over, h. zich verbaasd over)"	Wij verbazen ons over de prestaties van die topatleten. Het is bijna niet mogelijk dat zij zo snel kunnen lopen.	Siamo stupiti dalle prestazioni di quegli atleti di punta. È quasi impossibile che possano correre così velocemente.
zich verwonderen over	"zich verwonderen over (verwonderde zich over, h. zich verwonderd over)"	Je hoeft je niet te verwonderen over sneeuw in maart. Dat is volledig normaal hier.	Non devi meravigliarti della neve a marzo. Qui è del tutto normale.
zorg	"zorg, de [meestal meervoud; zorgen]"	"Het leven van Tania is niet gemakkelijk. Ze heeft veel zorgen. - Je hoeft je geen zorgen te maken, we hebben alles onder controle."	"La vita di Tania non è facile. Ha molte preoccupazioni. - Non devi preoccuparti, abbiamo tutto sotto controllo."
zorg	"zorg, de [-en]"	"Het leven van Tania is niet gemakkelijk. Ze heeft veel zorgen. - Je hoeft je geen zorgen te maken, we hebben alles onder controle."	"La vita di Tania non è facile. Ha molte preoccupazioni. - Non devi preoccuparti, abbiamo tutto sotto controllo."
zuchten	"zuchten (zuchtte, h. gezucht)"	"Pff, mijn fiets is weer kapot, wat een pech', zuchtte Carolina."	"Pff, la mia bici è di nuovo rotta, che sfortuna"", sospirò Carolina."
