Verbum/uitdrukking	Prepositie	Volledig	Traduzione	Voorbeeldzinnen	Esempio
handig zijn	met	handig zijn met	Essere abile con		
hopen	op	hopen op	Sperare in		
herinneren	aan	herinneren aan	Ricordare a	Kun je me eraan herinneren om morgen de afspraak niet te vergeten?	
het eens zijn	met	het eens zijn met	Essere d'accordo con		
horen	bij	horen bij	Appartenere a	"Welke sleutel hoort bij deze deur? ("quale chiave appartiene a questa porta?") - Deze schoenen horen bij die jurk ("queste scarpe si abbinano a quel vestito").	
houden	van	houden van	Amare		
in aanmerking komen	voor	in aanmerking komen voor	Essere idoneo per		
in de loop	van	in de loop van	Nel corso di		
in tegenstelling	tot	in tegenstelling tot	In contrasto con		
in verband	met	in verband met	In relazione con		
in vergelijking	met	in vergelijking met	In confronto a		
informeren	naar	informeren naar	Informarsi su		
interesse hebben	"in, voor"	"interesse hebben in, voor"	Avere interesse in; avere interesse per		
invloed hebben	op	invloed hebben op	Avere influenza su		
jaloers zijn	op	jaloers zijn op	Essere geloso di		
kennis maken	met	kennis maken met	Fare conoscenza con		
kijken	naar	kijken naar	Guardare a		
klagen	over	klagen over	Lamentarsi di		
kritiek hebben	op	kritiek hebben op	Avere critiche su		
last hebben	van	last hebben van	Essere infastidito da		
leiden	tot	leiden tot	Portare a		
lenen	"aan, van"	lenen aan; lenen van	Prestare a; prendere in prestito da		
letten	op	letten op	Fare attenzione a		
lijden	"aan, onder"	"lijden aan, onder"	"Soffrire di, soffrire per"		
lijken	op	lijken op	Assomigliare a		
luisteren	naar	luisteren naar	Ascoltare		
nadenken	over	nadenken over	Riflettere su		
onderzoek doen	naar	onderzoek doen naar	Fare ricerca su		
op bezoek gaan	bij	op bezoek gaan bij	Andare a trovare qualcuno		
op zoek zijn	naar	op zoek zijn naar	Essere in cerca di		
ophouden	met	ophouden met	Smettere con		
opletten	voor	opletten voor	Fare attenzione a		
overtuigd zijn	van	overtuigd zijn van	Essere convinto di		
overtuigen	van	overtuigen van	Convincere di		
passen	"aan, op, bij"	"passen aan, passen op, passen bij"	"Adattare (o adattarsi); Badare a, fare attenzione a; Abbinarsi a, essere in sintonia con"		
pijn hebben	"aan, in"	"pijn hebben aan, in"	"Avere dolore a, in"		
praten/spreken ... iets	over	praten/spreken over iets	Parlare di qualcosa		
praten/spreken ... iemand	met	praten/spreken met iemand	Parlare con qualcuno		
reageren	op	reageren op	Rispondere a		
recht hebben	op	recht hebben op	Avere diritto a		
rekenen	op	rekenen op	Contare su		
rekening houden	met	rekening houden met	Tenere conto di		
ruziemaken	met	ruziemaken met	Litigare con		
samenwerken ... iemand	met	samenwerken met iemand	Collaborare con qualcuno		
scheiden	van	scheiden van	Separarsi da		
schrikken	van	schrikken van	Spaventarsi di		
slagen	"in, voor"	"slagen in, slagen voor"	"Riuscire in, passare un esame di"		
slecht zijn	in	slecht zijn in	Essere pessimo in		
solliciteren	naar	solliciteren naar	Fare domanda per		
spijt hebben	van	spijt hebben van	Rimpiangere		
stemmen	voor/op	stemmen voor/op	Votare per		
sterven	aan	sterven aan	Morire di		
stoppen	met	stoppen met	Smettere con		
streven	naar	streven naar	Aspirare a		
strijden	"met, voor, tegen"	"strijden met, voor, tegen"	"Lottare con, per, contro"		
te maken hebben	met	te maken hebben met	Avere a che fare con		
telefoneren	"met, naar"	"telefoneren met, naar"	"Telefonare con, a"		
teleurgesteld zijn	in	teleurgesteld zijn in	Essere deluso da		
tevreden zijn	met	tevreden zijn met	Essere soddisfatto con		
tjd/geld besteden	aan	tjd/geld besteden aan	Dedicare tempo/denaro a		
trots zijn	op	trots zijn op	Essere orgoglioso di		
trouwen	met	trouwen met	Sposarsi con		
twijfelen	aan	twijfelen aan	Dubitare di		
uitkijken	naar	uitkijken naar	Essere in attesa di		
vechten	"met, tegen"	"vechten met, vechten tegen"	"Combattere con, combattere contro"		
verantwoordelijk zijn	voor	verantwoordelijk zijn voor	Essere responsabile di		
verdenken	van	verdenken van	Sospettare di		
verdriet hebben	om	verdriet hebben om	Essere triste per		
vergelijken	met	vergelijken met	Confrontare con		
verlangen	naar	verlangen naar	Desiderare		
verliefd zijn	op	verliefd zijn op	Essere innamorato di		
verliezen	van	verliezen van	Perdere contro		
veroordelen	tot	veroordelen tot	Condannare a		
verschillen	van	verschillen van	Differire da		
verslaafd zijn	aan	verslaafd zijn aan	Essere dipendente da		
verstand hebben	van	verstand hebben van	Essere esperto di		
vertalen	"naar/in, uit"	"vertalen naar/in, vertalen uit"	"Tradurre in, tradurre da"		
vertellen	over	vertellen over	Raccontare di		
vertrouwen	op	vertrouwen op	Fidarsi di		
verwijzen	naar	verwijzen naar	Fare riferimento a		
vluchten	voor	vluchten voor	Fuggire da		
voldoen	aan	voldoen aan	Soddisfare		
vragen	over	vragen over	Chiedere di		
waarschuwen	voor	waarschuwen voor	Avvisare di		
wachten	op	wachten op	Aspettare		
wijzen	"naar, op"	wijzen naar; wijzen op	Indicare a; indicare		
winnen	van	winnen van	Vincere contro		
zakken	voor	zakken voor	Fallire un esame di		
zeker zijn	van	zeker zijn van	Essere sicuro di		
zich beperken	tot	zich beperken tot	Limitarsi a		
zich ergeren	aan	zich ergeren aan	Irritarsi per		
zich houden	aan	zich houden aan	Attenersi a		
zich inschrijven	voor	zich inschrijven voor	Iscriversi a		
zich interesseren	voor	zich interesseren voor	Interessarsi a		
zich schamen	voor	zich schamen voor	Vergognarsi di		
zich specialiseren	in	zich specialiseren in	Specializzarsi in		
zich verontschuldigen	voor	zich verontschuldigen voor	Scusarsi per		
zich voorbereiden	op	zich voorbereiden op	Prepararsi a		
zich voorstellen ... iemand	aan	zich voorstellen aan iemand	Presentarsi a qualcuno		
zich wenden	tot	zich wenden tot	Rivolgersi a		
zin hebben	in	zin hebben in	Avere voglia di		
zoeken	naar	zoeken naar	Cercare		
zorgen	voor	zorgen voor	Prendersi cura di		
