Infinitief	Imp. Sing.	Imp. Plur.	Hebben/Zijn	Participium	Voorbeeldzin 1	Example 1	Voorbeeldzin 2	Example 2
genieten	genoot	genoten	H	genoten	Ze geniet van het mooie weer.	She enjoys the nice weather.	We hebben van de vakantie genoten.	We have enjoyed the vacation.
geven	gaf	gaven	H	gegeven	Hij geeft haar een cadeau.	He gives her a gift.	Hij heeft me een cadeau gegeven.	He has given me a gift.
gieten	goot	goten	H	gegoten	Ze giet water in het glas.	She pours water into the glass.	Ze heeft de planten water gegoten.	She has poured water on the plants.
glijden	gleed	gleden	H/Z	gegleden	De kinderen glijden van de glijbaan.	The children slide down the slide.	De schaatser is over het ijs gegleden.	The skater has slid over the ice.
glimmen	glom	glommen	H	geglommen	De auto glimt in de zon.	The car gleams in the sun.	De auto heeft in het donker geglimd.	The car has gleamed in the dark.
grijpen	greep	grepen	H	gegrepen	Hij grijpt de bal met  de hand.	He grabs the ball with the hand.	Hij heeft de bal snel gegrepen.	He has grabbed the ball quickly.
hangen	hing	hingen	H	gehangen	De lamp hangt aan het plafond.	The lamp hangs from the ceiling.	De jas heeft aan de kapstok gehangen.	The coat has hung on the coat rack.
hebben	had	hadden	H	gehad	Ik heb een nieuw boek gekocht.	I bought a new book.	Ik heb altijd veel boeken gehad.	I have always had many books.
helpen	hielp	hielpen	H	geholpen	Kun je me helpen met mijn huiswerk?	Can you help me with my homework?	Hij heeft me met de verhuizing geholpen.	He has helped me with the move.
heten	heette	heetten	H	geheten	"Hij heet Jan, en zij heet Anna."	"His name is Jan, and her name is Anna."	Hij heeft me Peter genoemd.	He has called me Peter.
houden	hield	hielden	H	gehouden	Ze houdt van chocolade.	She loves chocolate.	Ze heeft de doos stevig vastgehouden.	She has held the box tightly.
kiezen	koos	kozen	H	gekozen	Hij kiest het rode T-shirt.	He chooses the red T-shirt.	Hij heeft een mooi schilderij gekozen.	He has chosen a beautiful painting.
kijken	keek	keken	H	gekeken	Ik kijk naar de vogels in de tuin.	I watch the birds in the garden.	We hebben naar de film gekeken.	We have watched the movie.
klimmen	klom	klommen	H/Z	geklommen	Ze klimt naar de top van de berg.	She climbs to the top of the mountain.	Ze zijn op de berg geklommen.	They have climbed the mountain.
klinken	klonk	klonken	H	geklonken	De bel klinkt hard door het huis.	The bell sounds loudly through the house.	De bel heeft hard geklonken.	The bell has sounded loudly.
knijpen	kneep	knepen	H	geknepen	Hij knijpt in de sinaasappel.	He squeezes the orange.	Ze heeft hem in zijn arm geknepen.	She has pinched him in his arm.
komen	kwam	kwamen	Z	gekomen	We komen morgen op bezoek.	We are coming to visit tomorrow.	We zijn laat aangekomen.	We have arrived late.
kopen	kocht	kochten	H	gekocht	Ze koopt een nieuwe jas.	She buys a new coat.	Ik heb een nieuwe jas gekocht.	I have bought a new coat.
krijgen	kreeg	kregen	H	gekregen	Hij krijgt een brief van zijn oma.	He receives a letter from his grandmother.	Hij heeft een mooi cadeau gekregen.	He has received a nice gift.
krimpen	kromp	krompen	Z	gekrompen	De trui krimpt in de was.	The sweater shrinks in the wash.	Het shirt is gekrompen in de was.	The shirt has shrunk in the wash.
kruipen	kroop	kropen	H/Z	gekropen	De baby kruipt over de vloer.	The baby crawls across the floor.	De baby heeft over de vloer gekropen.	The baby has crawled across the floor.
kunnen	kon	konden	H	gekund	Ik kan goed zwemmen.	I can swim well.	Ik heb niet kunnen komen.	I have not been able to come.
lachen	lachte	lachten	H	gelachen	Ze lacht om de grap.	She laughs at the joke.	Ze heeft hard gelachen.	She has laughed a lot.
laten	liet	lieten	H	gelaten	Laat me je iets vertellen.	Let me tell you something.	Hij heeft de deur laten openstaan.	He has left the door open.
lezen	las	lazen	H	gelezen	Ik lees graag romans.	I enjoy reading novels.	Ik heb dat boek al gelezen.	I have already read that book.
liegen	loog	logen	H	gelogen	Hij liegt nooit tegen zijn vrienden.	He never lies to his friends.	Hij heeft over de situatie gelogen.	He has lied about the situation.
liggen	lag	lagen	H	gelegen	Het boek ligt op tafel.	The book is lying on the table.	We hebben urenlang op het strand gelegen.	We have lain on the beach for hours.
lijden	leed	leden	H	geleden	Ze lijdt aan een zeldzame ziekte.	She suffers from a rare disease.	Ze heeft veel pijn geleden.	She has suffered a lot of pain.
lijken	leek	leken	H	geleken	Het lijkt een eenvoudige oplossing.	It seems like a simple solution.	Het heeft op zijn broer geleken.	It has resembled his brother.
lopen	liep	liepen	H	gelopen	Hij loopt elke ochtend vijf kilometer.	He walks five kilometers every morning.	We hebben door de stad gelopen.	We have walked through the city.
meten	mat	maten	H	gemeten	De dokter meet zijn bloeddruk.	The doctor measures his blood pressure.	Ze heeft het pakket precies gemeten.	She has measured the package precisely.
mijden	meed	meden	H	gemeden	Hij mijdt drukke straten.	He avoids busy streets.	Hij heeft problemen vermeden.	He has avoided problems.
moeten	moest	moesten	H	gemoeten	Je moet je huiswerk maken.	You must do your homework.	We hebben dat echt moeten doen.	We really had to do that.
mogen	mocht	mochten	H	gemogen	We mogen naar het feest gaan.	We may go to the party.	Ik heb niet mogen blijven.	I have not been allowed to stay.
nemen	nam	namen	H	genomen	Ik neem een stuk chocolade.	I take a piece of chocolate.	Hij heeft mijn pen genomen.	He has taken my pen.
onderzoeken	onderzocht	onderzochten	H	onderzocht	Ze onderzoeken het probleem grondig.	They are thoroughly investigating the problem.	Ze heeft het probleem grondig onderzocht.	She has thoroughly investigated the problem.
ontbijten	ontbeet	ontbeten	H	ontbeten	We ontbijten meestal om acht uur.	We usually have breakfast at eight o clock.	We hebben samen ontbeten.	We have had breakfast together.
ontstaan	ontstond	ontstonden	Z	ontstaan	Er ontstond een hevige discussie.	A heated discussion arose.	Er is een nieuw idee ontstaan.	A new idea has arisen.
optreden	trad op	traden op	H/Z	opgetreden	De band treedt op in Amsterdam.	The band performs in Amsterdam.	De band heeft gisteren opgetreden.	The band has performed yesterday.
overlijden	overleed	overleden	Z	overleden	Hij overleed op jonge leeftijd.	He passed away at a young age.	Hij is vorige week overleden.	He has passed away last week.
raden	raadde	raadden	H	geraden	Kun jij het antwoord raden?	Can you guess the answer?	Ik heb het antwoord geraden.	I have guessed the answer.
rijden	reed	reden	H/Z	gereden	Ik rijd elke dag naar mijn werk.	I drive to work every day.	We hebben urenlang gereden.	We have driven for hours.
roepen	riep	riepen	H	geroepen	Ze roepen om hulp.	They call for help.	Hij heeft mijn naam geroepen.	He has called my name.
ruiken	rook	roken	H	geroken	De bloemen ruiken heerlijk.	The flowers smell wonderful.	Het heeft naar bloemen geroken.	It has smelled like flowers.
scheiden	scheidde	scheidden	Z	gescheiden	Ze scheiden na tien jaar huwelijk.	They separated after ten years of marriage.	Ze zijn gescheiden na tien jaar.	They have separated after ten years.
schelden	schold	scholden	H	gescholden	Hij scheldt zijn broer uit.	He scolds his brother.	Hij heeft me uitgescholden.	He has scolded me.
schenken	schonk	schonken	H	geschonken	Hij schenkt een glas wijn in.	He pours a glass of wine.	Ze heeft wijn geschonken.	She has poured wine.
scheren	schoor	schoren	H	geschoren	Hij scheert zich elke ochtend.	He shaves every morning.	Hij heeft zijn baard geschoren.	He has shaved his beard.
schijnen	scheen	schenen	H	geschenen	De zon schijnt door de wolken.	The sun shines through the clouds.	De zon heeft de hele dag geschenen.	The sun has shone all day.
schieten	schoot	schoten	H	geschoten	Ze schiet de bal in het doel.	She shoots the ball into the goal.	Hij heeft op de roos geschoten.	He has shot at the target.
schrijven	schreef	schreven	H	geschreven	Ik schrijf een brief aan mijn vriend.	I am writing a letter to my friend.	Ze heeft een brief geschreven.	She has written a letter.
schrikken	schrok	schrokken	Z	geschrokken	De kat schrikt van het harde geluid.	The cat gets startled by the loud noise.	Ik ben van de schrik bekomen.	I have recovered from the fright.
schuiven	schoof	schoven	H	geschoven	Ze schuift de stoel naar achteren.	She slides the chair backward.	Hij heeft de stoel naar voren geschoven.	He has pushed the chair forward.
slaan	sloeg	sloegen	H	geslagen	De jongen slaat de bal met zijn hand.	The boy hits the ball with his hand.	Ze heeft hem een klap gegeven.	She has given him a slap.
slapen	sliep	sliepen	H	geslapen	We slapen elke nacht acht uur.	We sleep eight hours every night.	We hebben diep geslapen.	We have slept deeply.
sluipen	sloop	slopen	H/Z	geslopen	Hij sluipt stil door de kamer.	He sneaks quietly through the room.	Hij is stilletjes naar buiten geslopen.	He has sneaked outside quietly.
sluiten	sloot	sloten	H	gesloten	Ze sluit het raam voor het regent.	She closes the window before it rains.	Ze heeft de deur gesloten.	She has closed the door.
smelten	smolt	smolten	Z	gesmolten	De boter smelt in de pan.	The butter melts in the pan.	Het ijs is snel gesmolten.	The ice has melted quickly.
snijden	sneed	sneden	H	gesneden	Ze snijdt het brood in plakken.	She cuts the bread into slices.	Hij heeft het brood in stukken gesneden.	He has cut the bread into pieces.
spijten	speet	speten	H	gespeten	Het spijt me dat ik te laat ben.	I m sorry that I m late.	Het heeft me echt gespeten.	It has truly saddened me.
spreken	sprak	spraken	H	gesproken	Hij spreekt vloeiend Nederlands.	He speaks Dutch fluently.	Hij heeft de hele nacht gesproken.	He has spoken all night.
springen	sprong	sprongen	H	gesprongen	De kinderen springen over het touw.	The children jump over the rope.	Ze is over de sloot gesprongen.	She has jumped over the ditch.
staan	stond	stonden	H	gestaan	Hij staat bij de deur te wachten.	"He is standing by the door, waiting."	We hebben daar lang gestaan.	We have stood there for a long time.
steken	stak	staken	H	gestoken	Ze steekt haar hand op in de klas.	She raises her hand in class.	Hij heeft me met een mes gestoken.	He has stabbed me with a knife.
stelen	stal	stalen	H	gestolen	De dief steelt een kostbaar schilderij.	The thief steals a valuable painting.	Ze heeft de fiets gestolen.	She has stolen the bike.
sterven	stierf	stierven	Z	gestorven	De plant sterft zonder water.	The plant dies without water.	Hij is aan een ziekte gestorven.	He has died from a disease.
stijgen	steeg	stegen	Z	gestegen	De ballon stijgt langzaam op.	The balloon slowly rises.	De prijs is gestegen.	The price has risen.
stinken	stonk	stonken	H	gestonken	De vuilnisbak stinkt als hij open is.	The trash can stinks when it s open.	Het vlees heeft slecht gestonken.	The meat has smelled bad.
strijden	streed	streden	H	gestreden	Ze strijden voor gelijke rechten.	They fight for equal rights.	Ze hebben lang gestreden.	They have fought for a long time.
strijken	streek	streken	H	gestreken	Hij strijkt zijn overhemd glad.	He irons his shirt smooth.	Ze heeft haar kleren gestreken.	She has ironed her clothes.
Toegeven	gaf toe	gaven toe	H	toegegeven	Ze geeft toe dat ze fout zat.	She admits that she was wrong.	Ik heb toegegeven dat ik fout zat.	I have admitted that I was wrong.
Toelaten	liet toe	lieten toe	H	toegelaten	De leraar laat hem de opdracht maken.	The teacher lets him complete the task.	Hij heeft me niet toegelaten.	He has not allowed me.
trekken	trok	trokken	H	getrokken	Ze trekken aan het zware touw.	They pull on the heavy rope.	Ze heeft de deur naar me toegetrokken.	She has pulled the door toward me.
treffen	trof	troffen	H	getroffen	Hij treft een oude vriend op straat.	He meets an old friend on the street.	We hebben elkaar in het park getroffen.	We have met each other in the park.
vallen	viel	vielen	Z	gevallen	Ik val bijna van de trap.	I almost fall down the stairs.	Hij is van de trap gevallen.	He has fallen down the stairs.
vangen	ving	vingen	H	gevangen	De kat vangt een muis.	The cat catches a mouse.	Ik heb een bal gevangen.	I have caught a ball.
varen	voer	voeren	H/Z	gevaren	Ze varen over de rivier.	They sail across the river.	We hebben over de rivier gevaren.	We have sailed across the river.
vechten	vocht	vochten	H	gevochten	Ze vechten tegen onrecht.	They fight against injustice.	Ze hebben urenlang gevochten.	They have fought for hours.
verbergen	verborg	verborgen	H	verborgen	Hij verbergt het cadeau onder het bed.	He hides the gift under the bed.	Hij heeft zijn geheim verborgen.	He has hidden his secret.
verbieden	verbood	verboden	H	verboden	Ze verbieden roken in het restaurant.	They forbid smoking in the restaurant.	Ze heeft me verboden te roken.	She has forbidden me to smoke.
verbinden	verbond	verbonden	H	verbonden	Hij verbindt de twee kabels met elkaar.	He connects the two cables together.	Ze hebben de stukken met elkaar verbonden.	They have connected the pieces.
verdwijnen	verdween	verdwenen	Z	verdwenen	Het vliegtuig verdwijnt achter de wolken.	The airplane disappears behind the clouds.	De kat is verdwenen.	The cat has disappeared.
vergelijken	vergeleek	vergeleken	H	vergeleken	Hij vergelijkt de prijzen van de producten.	He compares the prices of the products.	Hij heeft het met een andere situatie vergeleken.	He has compared it to another situation.
vergeten	vergat	vergaten	H/Z	vergeten	Ik vergeet altijd mijn sleutels.	I always forget my keys.	Ik ben zijn naam vergeten.	I have forgotten his name.
verkopen	verkocht	verkochten	H	verkocht	Ze verkoopt haar oude meubels.	She sells her old furniture.	Ze heeft haar auto verkocht.	She has sold her car.
verliezen	verloor	verloren	H	verloren	Hij verliest zijn portemonnee.	He loses his wallet.	Hij heeft de wedstrijd verloren.	He has lost the game.
verschijnen	verscheen	verschenen	Z	verschenen	Ze verschijnt plotseling in de kamer.	She suddenly appears in the room.	Hij is op het podium verschenen.	He has appeared on stage.
vertrekken	vertrok	vertrokken	Z	vertrokken	We vertrekken morgen vroeg.	We are leaving early tomorrow.	Ze zijn vanochtend vertrokken.	They have left this morning.
verzinnen	verzon	verzonnen	H	verzonnen	Ze verzint een spannend verhaal.	She invents an exciting story.	Ze heeft een prachtig verhaal verzonnen.	She has invented a wonderful story.
vinden	vond	vonden	H	gevonden	Ik vind deze film heel leuk.	I really like this movie.	We hebben een mooie steen gevonden.	We have found a beautiful stone.
vliegen	vloog	vlogen	H/Z	gevlogen	De vogel vliegt door de lucht.	The bird flies through the sky.	De vogel heeft lang gevlogen.	The bird has flown for a long time.
vouwen	vouwde	vouwden	H	gevouwen	Ze vouwt het papier netjes op.	She folds the paper neatly.	Ze heeft het papier gevouwen.	She has folded the paper.
vragen	vroeg	vroegen	H	gevraagd	Hij vraagt de weg aan een voorbijganger.	He asks a passerby for directions.	Hij heeft me een vraag gesteld.	He has asked me a question.
vriezen	vroof	vroren	H	gevroren	Het water bevriest bij nul graden.	The water freezes at zero degrees.	Het heeft hard gevroren vannacht.	It has frozen hard tonight.
wassen	waste	wasten	H	gewassen	Hij wast zijn auto elke week.	He washes his car every week.	Hij heeft zijn auto gewassen.	He has washed his car.
wegen	woog	wogen	H	gewogen	Ze weegt de ingredi nten nauwkeurig af.	She weighs the ingredients carefully.	Ze heeft de zware tas gewogen.	She has weighed the heavy bag.
weten	wist	wisten	H	geweten	Ik weet niet wat ik moet doen.	I don t know what to do.	Hij heeft me alles verteld wat hij wist.	He has told me everything he knew.
wijzen	wees	wezen	H	gewezen	Hij wijst naar de kaart op de muur.	He points to the map on the wall.	Hij heeft naar het probleem gewezen.	He has pointed at the problem.
willen	wou/wilde	wilden	H	gewild	Ze wil graag naar het concert.	She wants to go to the concert.	Ik heb altijd een hond willen hebben.	I have always wanted to have a dog.
winnen	won	wonnen	H	gewonnen	Hij wint de wedstrijd.	He wins the competition.	Hij heeft de race gewonnen.	He has won the race.
worden	werd	werden	Z	geworden	Hij wordt later dokter.	He will become a doctor later.	Hij is dokter geworden.	He has become a doctor.
wrijven	wreef	wreven	H	gewreven	Ze wrijft de vlek uit haar kleding.	She rubs the stain out of her clothes.	Hij heeft over de tafel gewreven.	He has rubbed over the table.
zeggen	zei/zegde	zeiden/zegden	H	gezegd	Hij zegt dat hij blij is.	He says that he is happy.	Ze heeft iets leuks gezegd.	She has said something nice.
zenden	zond	zonden	H	gezonden	Ze zenden het programma live uit.	They broadcast the program live.	We hebben het pakket per post gezonden.	We have sent the package by mail.
zien	zag	zagen	H	gezien	Ik zie een regenboog in de lucht.	I see a rainbow in the sky.	Ik heb een vogel in de boom gezien.	I have seen a bird in the tree.
zijn	was	waren	Z	geweest	Ze zijn erg blij met het cadeau.	They are very happy with the gift.	Hij is altijd een goede vriend geweest.	He has always been a good friend.
zingen	zong	zongen	H	gezongen	Hij zingt een lied voor het publiek.	He sings a song for the audience.	We hebben samen een lied gezongen.	We have sung a song together.
zinken	zonk	zonken	Z	gezonken	De steen zinkt naar de bodem.	The stone sinks to the bottom.	Het schip is gezonken.	The ship has sunk.
zitten	zat	zaten	H	gezeten	Ik zit graag bij het raam.	I like sitting by the window.	Ik heb de hele dag op de stoel gezeten.	I have sat on the chair all day.
zoeken	zocht	zochten	H	gezocht	Ze zoekt haar verloren sleutels.	She is looking for her lost keys.	We hebben uren naar onze sleutels gezocht.	We have searched for our keys for hours.
zuigen	zoog	zogen	H	gezogen	De baby zuigt op zijn duim.	The baby sucks on its thumb.	De baby heeft aan zijn duim gezogen.	The baby has sucked on his thumb.
zwellen	zwol	zwollen	Z	gezwollen	Zijn knie zwelt op na de val.	His knee swells up after the fall.	De wond is gezwollen.	The wound has swollen.
zwemmen	zwom	zwommen	H	gezwommen	Ze zwemmen in het zwembad.	They swim in the pool.	We hebben in het meer gezwommen.	We have swum in the lake.
zwijgen	zweeg	zwegen	H	gezwegen	Hij zwijgt tijdens het gesprek.	He remains silent during the conversation.	Hij heeft de hele tijd gezwegen.	He has remained silent the whole time.
